Date,Timestamp,Class,Lab,Anki,Volunteering,Research,Other,Self-Study,Dow,Month,Year,Day,Sum,Term,yearLabel,MS2Block,MS3Rotation,MS4Rotation
2020-09-07,9/7/2020 22:44:27,71.0,0.0,90.0,0.0,0.0,35.0,107.0,0,9,2020,7,303.0,Fall,MS1,,,
2020-09-08,9/8/2020 20:34:29,184.0,0.0,146.0,0.0,10.0,0.0,132.0,1,9,2020,8,472.0,Fall,MS1,,,
2020-09-09,9/9/2020 20:18:48,294.0,0.0,115.0,0.0,0.0,15.0,153.0,2,9,2020,9,577.0,Fall,MS1,,,
2020-09-10,9/10/2020 21:52:10,413.0,0.0,79.0,0.0,30.0,0.0,46.0,3,9,2020,10,568.0,Fall,MS1,,,
2020-09-11,9/12/2020 8:24:45,270.0,0.0,66.0,0.0,0.0,60.0,10.0,4,9,2020,11,406.0,Fall,MS1,,,
2020-09-12,9/13/2020 9:48:33,0.0,0.0,55.0,0.0,0.0,0.0,0.0,5,9,2020,12,55.0,Fall,MS1,,,
2020-09-13,9/13/2020 21:04:24,44.0,0.0,130.0,0.0,15.0,0.0,213.0,6,9,2020,13,402.0,Fall,MS1,,,
2020-09-14,9/14/2020 21:48:48,191.0,0.0,190.0,0.0,0.0,0.0,217.0,0,9,2020,14,598.0,Fall,MS1,,,
2020-09-15,9/15/2020 21:10:10,228.0,0.0,174.0,0.0,0.0,0.0,188.0,1,9,2020,15,590.0,Fall,MS1,,,
2020-09-16,9/16/2020 21:02:48,275.0,0.0,94.0,0.0,60.0,75.0,94.0,2,9,2020,16,598.0,Fall,MS1,,,
2020-09-17,9/17/2020 21:13:27,368.0,0.0,88.0,0.0,30.0,45.0,87.0,3,9,2020,17,618.0,Fall,MS1,,,
2020-09-18,9/18/2020 16:53:22,300.0,0.0,75.0,0.0,0.0,60.0,75.0,4,9,2020,18,510.0,Fall,MS1,,,
2020-09-19,9/19/2020 14:51:10,0.0,0.0,144.0,0.0,0.0,0.0,171.0,5,9,2020,19,315.0,Fall,MS1,,,
2020-09-20,9/20/2020 20:59:06,30.0,0.0,76.0,0.0,0.0,0.0,230.0,6,9,2020,20,336.0,Fall,MS1,,,
2020-09-21,9/21/2020 22:12:18,173.0,0.0,112.0,0.0,0.0,96.0,190.0,0,9,2020,21,571.0,Fall,MS1,,,
2020-09-22,9/22/2020 21:03:32,179.0,0.0,144.0,0.0,0.0,0.0,178.0,1,9,2020,22,501.0,Fall,MS1,,,
2020-09-23,9/25/2020 14:52:25,392.0,0.0,150.0,0.0,0.0,0.0,160.0,2,9,2020,23,702.0,Fall,MS1,,,
2020-09-24,9/25/2020 14:53:17,359.0,0.0,136.0,0.0,0.0,0.0,26.0,3,9,2020,24,521.0,Fall,MS1,,,
2020-09-25,9/25/2020 14:54:08,255.0,0.0,105.0,0.0,0.0,60.0,57.0,4,9,2020,25,477.0,Fall,MS1,,,
2020-09-26,9/26/2020 20:08:39,0.0,0.0,92.0,0.0,0.0,15.0,150.0,5,9,2020,26,257.0,Fall,MS1,,,
2020-09-27,9/27/2020 17:16:46,126.0,0.0,87.0,0.0,0.0,0.0,112.0,6,9,2020,27,325.0,Fall,MS1,,,
2020-09-28,9/28/2020 21:30:14,157.0,0.0,152.0,0.0,0.0,0.0,338.0,0,9,2020,28,647.0,Fall,MS1,,,
2020-09-29,9/30/2020 6:56:18,182.0,0.0,173.0,0.0,0.0,0.0,110.0,1,9,2020,29,465.0,Fall,MS1,,,
2020-09-30,9/30/2020 21:59:16,242.0,0.0,143.0,0.0,80.0,0.0,199.0,2,9,2020,30,664.0,Fall,MS1,,,
2020-10-01,10/1/2020 22:40:03,359.0,0.0,128.0,0.0,0.0,22.0,58.0,3,10,2020,1,567.0,Fall,MS1,,,
2020-10-02,10/2/2020 17:00:51,200.0,0.0,100.0,0.0,0.0,120.0,76.0,4,10,2020,2,496.0,Fall,MS1,,,
2020-10-03,10/4/2020 16:47:12,47.0,0.0,120.0,0.0,0.0,30.0,100.0,5,10,2020,3,297.0,Fall,MS1,,,
2020-10-04,10/4/2020 20:08:12,22.0,0.0,128.0,0.0,0.0,0.0,68.0,6,10,2020,4,218.0,Fall,MS1,,,
2020-10-05,10/5/2020 21:59:24,121.0,0.0,162.0,0.0,0.0,90.0,332.0,0,10,2020,5,705.0,Fall,MS1,,,
2020-10-06,10/6/2020 21:26:26,178.0,0.0,188.0,0.0,0.0,45.0,190.0,1,10,2020,6,601.0,Fall,MS1,,,
2020-10-07,10/7/2020 22:08:30,109.0,0.0,172.0,0.0,0.0,0.0,405.0,2,10,2020,7,686.0,Fall,MS1,,,
2020-10-08,10/8/2020 21:25:45,220.0,0.0,136.0,0.0,0.0,0.0,185.0,3,10,2020,8,541.0,Fall,MS1,,,
2020-10-09,10/9/2020 16:27:15,90.0,0.0,227.0,0.0,0.0,0.0,68.0,4,10,2020,9,385.0,Fall,MS1,,,
2020-10-10,10/10/2020 21:32:38,0.0,0.0,264.0,0.0,0.0,0.0,401.0,5,10,2020,10,665.0,Fall,MS1,,,
2020-10-11,10/11/2020 21:22:21,0.0,0.0,81.0,0.0,0.0,0.0,579.0,6,10,2020,11,660.0,Fall,MS1,,,
2020-10-12,10/13/2020 12:03:58,170.0,0.0,109.0,0.0,0.0,0.0,326.0,0,10,2020,12,605.0,Fall,MS1,,,
2020-10-13,10/14/2020 7:17:05,0.0,0.0,60.0,0.0,0.0,0.0,525.0,1,10,2020,13,585.0,Fall,MS1,,,
2020-10-14,10/14/2020 20:03:08,240.0,0.0,141.0,0.0,0.0,0.0,145.0,2,10,2020,14,526.0,Fall,MS1,,,
2020-10-15,10/15/2020 21:14:14,30.0,0.0,65.0,0.0,0.0,0.0,330.0,3,10,2020,15,425.0,Fall,MS1,,,
2020-10-16,10/16/2020 7:46:42,240.0,0.0,30.0,0.0,0.0,0.0,30.0,4,10,2020,16,300.0,Fall,MS1,,,
2020-10-17,10/18/2020 19:54:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,2020,17,0.0,Fall,MS1,,,
2020-10-18,10/18/2020 19:54:54,46.0,0.0,73.0,0.0,0.0,31.0,30.0,6,10,2020,18,180.0,Fall,MS1,,,
2020-10-19,10/19/2020 20:29:07,108.0,0.0,158.0,0.0,20.0,25.0,382.0,0,10,2020,19,693.0,Fall,MS1,,,
2020-10-20,10/20/2020 21:00:40,172.0,0.0,169.0,75.0,0.0,30.0,133.0,1,10,2020,20,579.0,Fall,MS1,,,
2020-10-21,10/21/2020 21:56:54,213.0,0.0,131.0,0.0,65.0,0.0,354.0,2,10,2020,21,763.0,Fall,MS1,,,
2020-10-22,10/22/2020 22:03:59,135.0,0.0,109.0,0.0,160.0,10.0,125.0,3,10,2020,22,539.0,Fall,MS1,,,
2020-10-23,10/24/2020 11:02:05,90.0,0.0,95.0,0.0,0.0,60.0,70.0,4,10,2020,23,315.0,Fall,MS1,,,
2020-10-24,10/25/2020 9:52:27,0.0,0.0,95.0,0.0,0.0,25.0,0.0,5,10,2020,24,120.0,Fall,MS1,,,
2020-10-25,10/25/2020 19:12:06,56.0,0.0,96.0,0.0,0.0,0.0,143.0,6,10,2020,25,295.0,Fall,MS1,,,
2020-10-26,10/26/2020 20:54:09,113.0,0.0,168.0,0.0,0.0,20.0,235.0,0,10,2020,26,536.0,Fall,MS1,,,
2020-10-27,10/28/2020 11:16:19,175.0,0.0,156.0,0.0,0.0,0.0,159.0,1,10,2020,27,490.0,Fall,MS1,,,
2020-10-28,10/28/2020 20:52:48,215.0,0.0,176.0,0.0,0.0,60.0,169.0,2,10,2020,28,620.0,Fall,MS1,,,
2020-10-29,10/29/2020 21:39:38,270.0,0.0,124.0,0.0,0.0,210.0,50.0,3,10,2020,29,654.0,Fall,MS1,,,
2020-10-30,10/31/2020 8:44:53,162.0,0.0,105.0,0.0,0.0,0.0,0.0,4,10,2020,30,267.0,Fall,MS1,,,
2020-10-31,11/1/2020 20:24:17,0.0,0.0,80.0,0.0,0.0,0.0,0.0,5,10,2020,31,80.0,Fall,MS1,,,
2020-11-01,11/1/2020 20:24:43,25.0,0.0,115.0,0.0,0.0,15.0,33.0,6,11,2020,1,188.0,Fall,MS1,,,
2020-11-02,11/2/2020 21:43:48,129.0,0.0,190.0,0.0,0.0,35.0,311.0,0,11,2020,2,665.0,Fall,MS1,,,
2020-11-03,11/3/2020 21:33:27,186.0,0.0,232.0,0.0,0.0,0.0,170.0,1,11,2020,3,588.0,Fall,MS1,,,
2020-11-04,11/4/2020 20:23:15,247.0,0.0,153.0,0.0,0.0,45.0,88.0,2,11,2020,4,533.0,Fall,MS1,,,
2020-11-05,11/5/2020 22:15:57,255.0,0.0,120.0,0.0,0.0,45.0,102.0,3,11,2020,5,522.0,Fall,MS1,,,
2020-11-06,11/7/2020 9:58:11,264.0,0.0,108.0,0.0,0.0,60.0,32.0,4,11,2020,6,464.0,Fall,MS1,,,
2020-11-07,11/7/2020 21:10:10,47.0,0.0,169.0,0.0,0.0,10.0,338.0,5,11,2020,7,564.0,Fall,MS1,,,
2020-11-08,11/8/2020 22:18:53,48.0,0.0,157.0,0.0,0.0,0.0,365.0,6,11,2020,8,570.0,Fall,MS1,,,
2020-11-09,11/9/2020 21:26:41,48.0,0.0,172.0,0.0,0.0,0.0,375.0,0,11,2020,9,595.0,Fall,MS1,,,
2020-11-10,11/10/2020 21:46:07,168.0,0.0,175.0,0.0,0.0,0.0,241.0,1,11,2020,10,584.0,Fall,MS1,,,
2020-11-11,11/11/2020 21:06:03,170.0,0.0,150.0,0.0,0.0,15.0,310.0,2,11,2020,11,645.0,Fall,MS1,,,
2020-11-12,11/12/2020 21:29:12,185.0,0.0,123.0,0.0,0.0,0.0,239.0,3,11,2020,12,547.0,Fall,MS1,,,
2020-11-13,11/13/2020 17:07:36,190.0,0.0,88.0,0.0,0.0,55.0,0.0,4,11,2020,13,333.0,Fall,MS1,,,
2020-11-14,11/15/2020 19:28:45,0.0,0.0,60.0,0.0,0.0,0.0,0.0,5,11,2020,14,60.0,Fall,MS1,,,
2020-11-15,11/15/2020 19:29:09,35.0,0.0,174.0,0.0,0.0,0.0,60.0,6,11,2020,15,269.0,Fall,MS1,,,
2020-11-16,11/16/2020 22:38:22,78.0,0.0,164.0,0.0,20.0,75.0,225.0,0,11,2020,16,562.0,Fall,MS1,,,
2020-11-17,11/17/2020 21:46:16,157.0,0.0,203.0,0.0,15.0,0.0,200.0,1,11,2020,17,575.0,Fall,MS1,,,
2020-11-18,11/18/2020 22:16:23,313.0,0.0,171.0,0.0,30.0,15.0,203.0,2,11,2020,18,732.0,Fall,MS1,,,
2020-11-19,11/19/2020 18:24:16,255.0,0.0,128.0,0.0,0.0,75.0,25.0,3,11,2020,19,483.0,Fall,MS1,,,
2020-11-20,11/21/2020 10:45:18,140.0,0.0,143.0,0.0,0.0,60.0,140.0,4,11,2020,20,483.0,Fall,MS1,,,
2020-11-21,11/21/2020 15:09:18,0.0,0.0,124.0,0.0,50.0,0.0,60.0,5,11,2020,21,234.0,Fall,MS1,,,
2020-11-22,11/22/2020 19:10:01,38.0,0.0,135.0,0.0,0.0,0.0,112.0,6,11,2020,22,285.0,Fall,MS1,,,
2020-11-23,11/23/2020 21:34:21,137.0,0.0,151.0,0.0,0.0,0.0,314.0,0,11,2020,23,602.0,Fall,MS1,,,
2020-11-24,11/24/2020 16:53:23,135.0,0.0,137.0,0.0,0.0,0.0,180.0,1,11,2020,24,452.0,Fall,MS1,,,
2020-11-25,11/25/2020 12:49:51,45.0,0.0,97.0,0.0,0.0,0.0,113.0,2,11,2020,25,255.0,Fall,MS1,,,
2020-11-26,11/26/2020 13:00:37,0.0,0.0,120.0,0.0,0.0,0.0,0.0,3,11,2020,26,120.0,Fall,MS1,,,
2020-11-27,11/27/2020 11:58:58,0.0,0.0,102.0,0.0,0.0,0.0,18.0,4,11,2020,27,120.0,Fall,MS1,,,
2020-11-28,11/28/2020 12:56:30,0.0,0.0,72.0,0.0,0.0,10.0,15.0,5,11,2020,28,97.0,Fall,MS1,,,
2020-11-29,11/30/2020 10:44:49,38.0,0.0,76.0,0.0,0.0,0.0,30.0,6,11,2020,29,144.0,Fall,MS1,,,
2020-12-01,12/1/2020 8:41:37,124.0,0.0,133.0,270.0,0.0,0.0,140.0,1,12,2020,1,667.0,Fall,MS1,,,
2020-12-01,12/1/2020 18:15:18,67.0,0.0,158.0,0.0,0.0,30.0,182.0,1,12,2020,1,437.0,Fall,MS1,,,
2020-12-02,12/3/2020 8:22:38,64.0,0.0,115.0,0.0,0.0,0.0,106.0,2,12,2020,2,285.0,Fall,MS1,,,
2020-12-03,12/3/2020 19:49:11,60.0,0.0,142.0,0.0,0.0,15.0,193.0,3,12,2020,3,410.0,Fall,MS1,,,
2020-12-04,12/5/2020 13:04:07,0.0,0.0,103.0,0.0,0.0,120.0,197.0,4,12,2020,4,420.0,Fall,MS1,,,
2020-12-06,12/6/2020 13:28:30,0.0,0.0,130.0,0.0,0.0,15.0,345.0,6,12,2020,6,490.0,Fall,MS1,,,
2020-12-06,12/6/2020 21:28:30,0.0,0.0,124.0,0.0,0.0,15.0,360.0,6,12,2020,6,499.0,Fall,MS1,,,
2020-12-07,12/7/2020 20:15:20,120.0,0.0,110.0,0.0,0.0,0.0,225.0,0,12,2020,7,455.0,Fall,MS1,,,
2020-12-08,12/8/2020 21:29:49,0.0,0.0,105.0,0.0,0.0,60.0,315.0,1,12,2020,8,480.0,Fall,MS1,,,
2020-12-09,12/9/2020 21:06:41,140.0,0.0,35.0,0.0,0.0,90.0,25.0,2,12,2020,9,290.0,Fall,MS1,,,
2020-12-10,12/10/2020 18:33:34,0.0,0.0,30.0,0.0,0.0,295.0,180.0,3,12,2020,10,505.0,Fall,MS1,,,
2020-12-11,12/11/2020 9:14:35,70.0,0.0,23.0,0.0,0.0,60.0,0.0,4,12,2020,11,153.0,Fall,MS1,,,
2020-12-12,12/14/2020 7:36:39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,2020,12,1.0,Break,MS1,,,
2020-12-13,12/14/2020 7:36:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12,2020,13,0.0,Break,MS1,,,
2020-12-14,12/14/2020 21:06:17,0.0,0.0,78.0,0.0,30.0,175.0,0.0,0,12,2020,14,283.0,Break,MS1,,,
2020-12-15,12/15/2020 19:28:33,0.0,0.0,54.0,0.0,0.0,141.0,0.0,1,12,2020,15,195.0,Break,MS1,,,
2020-12-16,12/16/2020 17:48:11,0.0,0.0,37.0,0.0,0.0,110.0,0.0,2,12,2020,16,147.0,Break,MS1,,,
2020-12-17,12/18/2020 7:03:26,0.0,0.0,45.0,0.0,0.0,0.0,0.0,3,12,2020,17,45.0,Break,MS1,,,
2020-12-18,12/18/2020 14:46:48,0.0,0.0,37.0,0.0,0.0,90.0,0.0,4,12,2020,18,127.0,Break,MS1,,,
2020-12-19,12/19/2020 9:59:27,0.0,0.0,41.0,0.0,0.0,0.0,0.0,5,12,2020,19,41.0,Break,MS1,,,
2020-12-20,12/20/2020 10:30:52,0.0,0.0,32.0,0.0,0.0,0.0,0.0,6,12,2020,20,32.0,Break,MS1,,,
2020-12-21,12/21/2020 16:52:02,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0,12,2020,21,35.0,Break,MS1,,,
2020-12-22,12/21/2020 16:52:03,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1,12,2020,22,35.0,Break,MS1,,,
2020-12-23,12/21/2020 16:52:01,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2,12,2020,23,28.0,Break,MS1,,,
2020-12-24,12/24/2020 8:32:07,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3,12,2020,24,26.0,Break,MS1,,,
2020-12-25,12/25/2020 8:47:51,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4,12,2020,25,10.0,Break,MS1,,,
2020-12-26,12/26/2020 15:05:51,0.0,0.0,33.0,0.0,0.0,0.0,0.0,5,12,2020,26,33.0,Break,MS1,,,
2020-12-27,12/27/2020 15:12:36,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6,12,2020,27,35.0,Break,MS1,,,
2020-12-28,12/29/2020 10:32:24,0.0,0.0,10.0,0.0,0.0,90.0,0.0,0,12,2020,28,100.0,Break,MS1,,,
2020-12-29,12/30/2020 10:40:12,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1,12,2020,29,30.0,Break,MS1,,,
2020-12-30,12/31/2020 10:36:36,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2,12,2020,30,26.0,Break,MS1,,,
2020-12-31,1/1/2021 17:56:59,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3,12,2020,31,25.0,Break,MS1,,,
2021-01-01,1/1/2021 17:57:34,0.0,0.0,27.0,0.0,0.0,0.0,0.0,4,1,2021,1,27.0,Spring,MS1,,,
2021-01-02,1/3/2021 14:26:35,0.0,0.0,24.0,0.0,0.0,0.0,0.0,5,1,2021,2,24.0,Spring,MS1,,,
2021-01-03,1/3/2021 14:26:48,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6,1,2021,3,20.0,Spring,MS1,,,
2021-01-04,1/5/2021 10:00:53,0.0,0.0,25.0,0.0,0.0,30.0,0.0,0,1,2021,4,55.0,Spring,MS1,,,
2021-01-05,1/5/2021 20:32:08,150.0,0.0,26.0,0.0,0.0,128.0,0.0,1,1,2021,5,304.0,Spring,MS1,,,
2021-01-06,1/6/2021 21:50:44,410.0,0.0,35.0,0.0,0.0,15.0,17.0,2,1,2021,6,477.0,Spring,MS1,,,
2021-01-07,1/7/2021 21:33:17,56.0,0.0,127.0,210.0,0.0,15.0,342.0,3,1,2021,7,750.0,Spring,MS1,,,
2021-01-08,1/8/2021 15:27:20,80.0,0.0,111.0,0.0,0.0,105.0,165.0,4,1,2021,8,461.0,Spring,MS1,,,
2021-01-09,1/9/2021 13:19:14,86.0,0.0,64.0,0.0,0.0,0.0,171.0,5,1,2021,9,321.0,Spring,MS1,,,
2021-01-10,1/10/2021 19:58:05,0.0,0.0,87.0,0.0,80.0,15.0,184.0,6,1,2021,10,366.0,Spring,MS1,,,
2021-01-11,1/11/2021 21:01:58,141.0,0.0,161.0,0.0,75.0,20.0,230.0,0,1,2021,11,627.0,Spring,MS1,,,
2021-01-12,1/12/2021 20:59:09,53.0,0.0,151.0,0.0,20.0,110.0,314.0,1,1,2021,12,648.0,Spring,MS1,,,
2021-01-13,1/14/2021 21:21:51,159.0,0.0,146.0,0.0,125.0,0.0,165.0,2,1,2021,13,595.0,Spring,MS1,,,
2021-01-14,1/14/2021 21:23:19,314.0,0.0,98.0,0.0,0.0,50.0,74.0,3,1,2021,14,536.0,Spring,MS1,,,
2021-01-15,1/16/2021 10:24:56,120.0,0.0,68.0,0.0,0.0,180.0,62.0,4,1,2021,15,430.0,Spring,MS1,,,
2021-01-16,1/17/2021 10:43:19,0.0,0.0,65.0,0.0,60.0,0.0,60.0,5,1,2021,16,185.0,Spring,MS1,,,
2021-01-17,1/18/2021 12:23:16,0.0,0.0,54.0,0.0,0.0,0.0,0.0,6,1,2021,17,54.0,Spring,MS1,,,
2021-01-18,1/18/2021 19:44:16,0.0,0.0,72.0,0.0,15.0,0.0,180.0,0,1,2021,18,267.0,Spring,MS1,,,
2021-01-19,1/19/2021 20:38:03,54.0,0.0,116.0,0.0,165.0,45.0,160.0,1,1,2021,19,540.0,Spring,MS1,,,
2021-01-20,1/20/2021 22:03:47,205.0,0.0,102.0,0.0,80.0,0.0,213.0,2,1,2021,20,600.0,Spring,MS1,,,
2021-01-21,1/21/2021 20:46:32,295.0,0.0,139.0,0.0,60.0,0.0,108.0,3,1,2021,21,602.0,Spring,MS1,,,
2021-01-22,1/22/2021 20:59:05,211.0,0.0,128.0,0.0,0.0,100.0,162.0,4,1,2021,22,601.0,Spring,MS1,,,
2021-01-23,1/23/2021 19:45:45,11.0,0.0,100.0,0.0,0.0,0.0,209.0,5,1,2021,23,320.0,Spring,MS1,,,
2021-01-24,1/24/2021 20:32:07,0.0,0.0,86.0,0.0,45.0,60.0,90.0,6,1,2021,24,281.0,Spring,MS1,,,
2021-01-25,1/25/2021 22:18:33,240.0,0.0,86.0,0.0,140.0,10.0,60.0,0,1,2021,25,536.0,Spring,MS1,,,
2021-01-26,1/26/2021 21:47:51,64.0,0.0,117.0,0.0,180.0,109.0,175.0,1,1,2021,26,645.0,Spring,MS1,,,
2021-01-27,1/27/2021 21:13:13,262.0,0.0,105.0,0.0,67.0,0.0,213.0,2,1,2021,27,647.0,Spring,MS1,,,
2021-01-28,1/28/2021 20:27:35,303.0,0.0,80.0,0.0,70.0,85.0,85.0,3,1,2021,28,623.0,Spring,MS1,,,
2021-01-29,1/29/2021 14:45:38,50.0,0.0,94.0,10.0,30.0,60.0,161.0,4,1,2021,29,405.0,Spring,MS1,,,
2021-01-30,1/30/2021 18:26:29,0.0,0.0,115.0,0.0,0.0,0.0,60.0,5,1,2021,30,175.0,Spring,MS1,,,
2021-01-31,1/31/2021 21:19:14,0.0,0.0,60.0,0.0,60.0,35.0,137.0,6,1,2021,31,292.0,Spring,MS1,,,
2021-02-01,2/1/2021 21:03:20,120.0,0.0,88.0,0.0,120.0,20.0,224.0,0,2,2021,1,572.0,Spring,MS1,,,
2021-02-02,2/2/2021 21:03:36,0.0,0.0,112.0,0.0,185.0,30.0,171.0,1,2,2021,2,498.0,Spring,MS1,,,
2021-02-03,2/3/2021 21:29:18,230.0,0.0,88.0,0.0,195.0,0.0,137.0,2,2,2021,3,650.0,Spring,MS1,,,
2021-02-04,2/4/2021 21:51:43,245.0,0.0,73.0,0.0,15.0,110.0,170.0,3,2,2021,4,613.0,Spring,MS1,,,
2021-02-05,2/5/2021 15:11:54,156.0,0.0,94.0,0.0,45.0,46.0,84.0,4,2,2021,5,425.0,Spring,MS1,,,
2021-02-06,2/6/2021 17:32:19,10.0,0.0,144.0,0.0,0.0,0.0,161.0,5,2,2021,6,315.0,Spring,MS1,,,
2021-02-07,2/7/2021 21:11:20,38.0,0.0,115.0,0.0,0.0,0.0,92.0,6,2,2021,7,245.0,Spring,MS1,,,
2021-02-08,2/8/2021 22:02:10,236.0,0.0,88.0,0.0,150.0,0.0,154.0,0,2,2021,8,628.0,Spring,MS1,,,
2021-02-09,2/9/2021 22:12:35,95.0,0.0,120.0,0.0,90.0,0.0,223.0,1,2,2021,9,528.0,Spring,MS1,,,
2021-02-10,2/10/2021 20:25:50,193.0,0.0,114.0,0.0,60.0,15.0,143.0,2,2,2021,10,525.0,Spring,MS1,,,
2021-02-11,2/11/2021 22:04:15,223.0,0.0,114.0,135.0,45.0,65.0,61.0,3,2,2021,11,643.0,Spring,MS1,,,
2021-02-12,2/13/2021 8:29:03,120.0,0.0,82.0,0.0,40.0,0.0,110.0,4,2,2021,12,352.0,Spring,MS1,,,
2021-02-13,2/13/2021 14:03:45,0.0,0.0,83.0,0.0,0.0,0.0,90.0,5,2,2021,13,173.0,Spring,MS1,,,
2021-02-14,2/14/2021 21:31:14,9.0,0.0,95.0,0.0,18.0,0.0,66.0,6,2,2021,14,188.0,Spring,MS1,,,
2021-02-15,2/15/2021 21:15:39,180.0,0.0,112.0,0.0,45.0,73.0,66.0,0,2,2021,15,476.0,Spring,MS1,,,
2021-02-16,2/16/2021 21:47:51,0.0,0.0,108.0,0.0,165.0,135.0,222.0,1,2,2021,16,630.0,Spring,MS1,,,
2021-02-17,2/17/2021 22:06:10,265.0,0.0,128.0,0.0,0.0,195.0,130.0,2,2,2021,17,718.0,Spring,MS1,,,
2021-02-18,2/18/2021 22:00:23,207.0,0.0,143.0,0.0,20.0,0.0,121.0,3,2,2021,18,491.0,Spring,MS1,,,
2021-02-19,2/20/2021 11:30:38,105.0,0.0,101.0,45.0,0.0,135.0,155.0,4,2,2021,19,541.0,Spring,MS1,,,
2021-02-20,2/21/2021 9:21:04,0.0,0.0,79.0,0.0,0.0,0.0,0.0,5,2,2021,20,79.0,Spring,MS1,,,
2021-02-21,2/21/2021 19:46:56,18.0,0.0,96.0,0.0,60.0,0.0,25.0,6,2,2021,21,199.0,Spring,MS1,,,
2021-02-22,2/22/2021 21:17:50,80.0,0.0,120.0,0.0,60.0,0.0,135.0,0,2,2021,22,395.0,Spring,MS1,,,
2021-02-23,2/23/2021 21:08:16,0.0,0.0,86.0,0.0,20.0,0.0,400.0,1,2,2021,23,506.0,Spring,MS1,,,
2021-02-24,2/24/2021 21:36:38,300.0,0.0,79.0,90.0,0.0,25.0,70.0,2,2,2021,24,564.0,Spring,MS1,,,
2021-02-25,2/25/2021 18:39:03,270.0,0.0,82.0,0.0,30.0,15.0,61.0,3,2,2021,25,458.0,Spring,MS1,,,
2021-02-26,2/27/2021 11:34:20,0.0,0.0,135.0,0.0,0.0,220.0,115.0,4,2,2021,26,470.0,Spring,MS1,,,
2021-02-27,2/27/2021 18:04:27,0.0,0.0,115.0,0.0,0.0,0.0,165.0,5,2,2021,27,280.0,Spring,MS1,,,
2021-02-28,2/28/2021 21:02:27,0.0,0.0,62.0,0.0,100.0,15.0,170.0,6,2,2021,28,347.0,Spring,MS1,,,
2021-03-01,3/1/2021 22:29:35,120.0,0.0,56.0,285.0,30.0,30.0,105.0,0,3,2021,1,626.0,Spring,MS1,,,
2021-03-02,3/2/2021 21:46:29,0.0,0.0,60.0,0.0,105.0,270.0,150.0,1,3,2021,2,585.0,Spring,MS1,,,
2021-03-03,3/3/2021 20:19:11,75.0,0.0,139.0,0.0,0.0,0.0,160.0,2,3,2021,3,374.0,Spring,MS1,,,
2021-03-04,3/4/2021 16:26:01,0.0,0.0,120.0,0.0,60.0,45.0,140.0,3,3,2021,4,365.0,Spring,MS1,,,
